name,firstname,surname,role_raw,gender,type,n_mentions,n_docs
Ferdinand DUDENH FFER,Ferdinand,DUDENH FFER,automobilový expert,M,?,2,2
Petr OLYŠAR,Petr,OLYŠAR,ředitel,M,M5,2,2
Petr PAŘIL,Petr,PAŘIL,vedoucí projektu,M,M5,2,1
František SVOBODA,František,SVOBODA,ředitel,M,M5,2,1
Franziska WESSELOVÁ,Franziska,WESSELOVÁ,organizátorka protestů,F,?,2,1
Fred SPOOR,Fred,SPOOR,paleontolog,M,?,2,2
Paolo GENTILONI,Paolo,GENTILONI,italský premiér,M,M6,2,2
Pascal PERRINEAU,Pascal,PERRINEAU,politolog,M,M3,2,2
Daniela MONTALTOVÁ,Daniela,MONTALTOVÁ,ekoložka,F,M3,2,2
Dan ŤOK,Dan,ŤOK,ministr dopravy nestr,M,M6,2,2
Dana BALCAROVÁ,Dana,BALCAROVÁ,předsedkyně sněmovního výboru pro životní,F,M6,2,2
Patrick MALONEY,Patrick,MALONEY,demokratický kongresman přítel,M,?,2,2
Frida BENGTSSONOVÁ,Frida,BENGTSSONOVÁ,aktivistka,F,M5,2,2
Fuat CANBOLAT,Fuat,CANBOLAT,vedoucí projektu na ochranu karet,M,M5,2,1
Gaelle DAHERON,Gaelle,DAHERON,vinařství,F?,?,2,2
Galerie PLATO,Galerie,PLATO,osidluje nové prostory postupně,F?,?,2,2
Petr HRADECKÝ,Petr,HRADECKÝ,trenér,M,M5,2,2
Petr JIRÁT,Petr,JIRÁT,státní zástupce,M,M5,2,1
Petr KLEČKA,Petr,KLEČKA,majitel,M,M5,2,1
Petr KLÁSEK,Petr,KLÁSEK,starosta,M,M6,2,1
González IŇÁRRITU,González,IŇÁRRITU,režisér,M,?,2,2
Gregory DEBRUYNE,Gregory,DEBRUYNE,rybář z,M,?,2,1
Greta THUNBERGOVÁ,Greta,THUNBERGOVÁ,ekologická aktivistka,F,M5,2,2
Pavel DOLEČEK,Pavel,DOLEČEK,náměstek pro řízení sekce vysokého,M,M5,2,2
Jan KOZEL,Jan,KOZEL,náměstek ředitele,M,M5,2,1
Jan KOZINA,Jan,KOZINA,zástupce obecně prospěšné společnosti,M,M5,2,1
Jan BLAHŮT,Jan,BLAHŮT,geomorfolog,M,?,2,1
Jan BUKOVSKÝ,Jan,BUKOVSKÝ,tiskový mluvčí,M,?,2,2
Gergely KARÁCSONY,Gergely,KARÁCSONY,primátor,M,M6,2,2
Gero NEUGEBAUER,Gero,NEUGEBAUER,politolog,M,M3,2,2
Giuseppe CONTE,Giuseppe,CONTE,italský premiér,F?,M6,2,2
Gladys BEREJIKLIANOVÁ,Gladys,BEREJIKLIANOVÁ,premiérka,F,M6,2,2
Susanne RASMUSSENOVÁ,Susanne,RASMUSSENOVÁ,ředitelka odboru dopravy a životního,F,M5,2,1
Stanislav BILER,Stanislav,BILER,sociolog,M,M3,2,1
Stanislav GROSPIČ,Stanislav,GROSPIČ,místopředseda strany,M,M6,2,2
Stanislav GROSPIČ,Stanislav,GROSPIČ,poslanec,M,M6,2,2
Jan KOPP,Jan,KOPP,katedra geografie,M,M3,2,1
Dale VINCE,Dale,VINCE,šéf fotbalového klubu,F?,M5,2,1
Dalia GRYBAUSKAITÉOVÁ,Dalia,GRYBAUSKAITÉOVÁ,litevská prezidentka,F,?,2,2
Damiel KURKA,Damiel,KURKA,ředitel pobočky,M,M5,2,1
Steve CARMEL,Steve,CARMEL,účastník demonstrace,F?,?,2,2
Steve HUGS,Steve,HUGS,pracovník genové banky australských pastvin,F?,?,2,1
Stuart GOODALL,Stuart,GOODALL,manažer lesnické firmy,M,M5,2,1
Jiří PŘIBÁŇ,Jiří,PŘIBÁŇ,profesor právní filozofie a sociologie,M,M3,2,1
Jiří MAREK,Jiří,MAREK,zemědělec,M,M2,2,1
Siračaj ARUNRUGSTIČAJ,Siračaj,ARUNRUGSTIČAJ,mořský biolog,M,?,2,2
Sophie BACKSENOVÁ,Sophie,BACKSENOVÁ,stěžovatelka,F,?,2,2
Soňa JONÁŠOVÁ,Soňa,JONÁŠOVÁ,ředitelka,F,M5,2,1
Daniel FICHNA,Daniel,FICHNA,starosta,M,M6,2,1
Stefan KORB,Stefan,KORB,vedoucí projektu,M,M5,2,2
Stefano VIANELLO,Stefano,VIANELLO,restaurátor,M,?,2,1
Soňa VALUCHOVÁ,Soňa,VALUCHOVÁ,odborná pracovnice institut,F,?,2,1
Miloš BARTÁK,Miloš,BARTÁK,biolog,M,M3,2,2
Jiří HUML,Jiří,HUML,provozní ředitel,M,?,2,1
Jiří JANOTA,Jiří,JANOTA,předseda,M,M6,2,2
Petr NEČAS,Petr,NEČAS,předseda vlády,M,M6,2,1
Milan DVOŘÁK,Milan,DVOŘÁK,rusista,M,?,2,1
Milan GRYNDLER,Milan,GRYNDLER,mykolog,M,?,2,2
Jiří PAZDERKA,Jiří,PAZDERKA,katedra konstrukcí pozemních staveb,M,M3,2,1
Jiří PETROVIČ,Jiří,PETROVIČ,redaktor,M,M1,2,2
Daniel BENEŠ,Daniel,BENEŠ,generální ředitel a předseda představenstva,M,M5,2,2
Jiří NANTL,Jiří,NANTL,ředitel,M,M5,2,1
Škoda ENYAQ,Škoda,ENYAQ,má zvládnout dnes přes,F?,?,1,1
Čang PCHING,Čang,PCHING,předseda,M,M6,1,1
Čang ČCHIEN,Čang,ČCHIEN,šéfka projektu pro kontrolování počasí,M,?,1,1
Čao LI ŤIEN,Čao,LI ŤIEN,mluvčí čínského ministerstva zahraničních věcí,M,M1,1,1
Čchen MING ČCH,Čchen,MING ČCH,náměstek ministra,M,M5,1,1
Čchin ČEN,Čchin,ČEN,manažer firmy,M,M5,1,1
Černá DVOŘÁKOVÁ,Černá,DVOŘÁKOVÁ,mluvčí,F,M1,1,1
Česká BIS,Česká,BIS,varuje opakovaně před zahraniční špionáží,M,?,1,1
Órfhlaith BEGLEYOVÁ,Órfhlaith,BEGLEYOVÁ,poslankyně místního parlamentu za stranu,F,M6,1,1
Úspěch CNN,Úspěch,CNN,ale nepřišel přes noc,M,?,1,1
Úřad OSN,Úřad,OSN,pro uprchlíky letošní favorité se,M,?,1,1
Čang CHAJ PIN,Čang,CHAJ PIN,pastevec z provincie,M,?,1,1
Zemanova ČSSD,Zemanova,ČSSD,za podpory,F?,?,1,1
Alejandro GIAMMATTEI,Alejandro,GIAMMATTEI,prezident,M,M6,1,1
Alejandro GUAMMATTEL,Alejandro,GUAMMATTEL,prezident,M,M6,1,1
Alejandro NEYRA,Alejandro,NEYRA,peruánský ministr cestovního ruchu,M,?,1,1
Aleksandar MLADIČ,Aleksandar,MLADIČ,obyvatel,M,M2,1,1
Alena DOSTÁLOVÁ,Alena,DOSTÁLOVÁ,hydrobioložka,F,?,1,1
Alena HOLUBOVÁ,Alena,HOLUBOVÁ,koordinátorka příprav jihlavský magistrát,F,M5,1,1
Alena SCHILLEROVÁ,Alena,SCHILLEROVÁ,ministryně financí,F,M6,1,1
Zpráva EEA,Zpráva,EEA,o klimatu,F?,?,1,1
Zpráva EK,Zpráva,EK,o přerozdělování migrantů,F?,?,1,1
Zpráva OSN,Zpráva,OSN,milionu druhů hrozí vyhubení,F?,?,1,1
Zpráva OSN,Zpráva,OSN,mluví o všech přírodních katastrofách,F?,?,1,1
Zpráva OSN,Zpráva,OSN,počítá s katastrofickým scénářem že,F?,?,1,1
Zpráva OSN,Zpráva,OSN,upozorňuje že rozmanitost se snižuje,F?,?,1,1
Zsolt SEMJÉN,Zsolt,SEMJÉN,designovaný maďarský vicepremiér pro menšiny,M,?,1,1
Zdeňka SOUKUPOVÁ,Zdeňka,SOUKUPOVÁ,koordinátorka brněnské skupiny,F,M5,1,1
Alena SEIBERTOVÁ,Alena,SEIBERTOVÁ,osoba,F,?,1,1
Alena STOLÁŘOVÁ,Alena,STOLÁŘOVÁ,hydroložka,F,?,1,1
Alena ŠTEFLOVÁ,Alena,ŠTEFLOVÁ,ředitelka,F,M5,1,1
Zuzana PASTRŇÁKOVÁ,Zuzana,PASTRŇÁKOVÁ,mluvčí,F,M1,1,1
Zuzana HODKOVÁ,Zuzana,HODKOVÁ,moderátorka,F,M1,1,1
Zuzana HODKOVÁ,Zuzana,HODKOVÁ,redaktorka,F,M1,1,1
Zuzana MAJEROVÁ ZAHRADNÍKOVÁ,Zuzana,MAJEROVÁ ZAHRADNÍKOVÁ,poslankyně,F,M6,1,1
Zoe FLANAGANOVÁ,Zoe,FLANAGANOVÁ,obyvatelka,F,M2,1,1
Alexander GAULAND,Alexander,GAULAND,předseda,M,M6,1,1
Alena ŽÁKOVSKÁ,Alena,ŽÁKOVSKÁ,oddělení fyziologie a imunologie živočichů,F,?,1,1
Alessandro VITELLI,Alessandro,VITELLI,hlavní expert agentury,M,M5,1,1
Alex ALLEY,Alex,ALLEY,britský jachtař zdroj,M,?,1,1
Alex BOROWICZ,Alex,BOROWICZ,výzkumník polární ekologie,M,M3,1,1
Alex DESSARD,Alex,DESSARD,dobrovolník z,M,?,1,1
Alex MOTUKO,Alex,MOTUKO,ochránce přírody žirafí centrum v,M,?,1,1
Alena SCHILLEROVÁ,Alena,SCHILLEROVÁ,předsedkyně poslaneckého klubu,F,M6,1,1
Lukáš ČÍŽEK,Lukáš,ČÍŽEK,vědec,M,M3,1,1
Lumír KREJČÍ,Lumír,KREJČÍ,vedoucí laboratoře,M,M5,1,1
Lukáš LINHART,Lukáš,LINHART,manažer projektu,M,M5,1,1
Lukáš STRNAD,Lukáš,STRNAD,vedoucí rybničního hospodářství,M,M5,1,1
Lukáš ULRYCH,Lukáš,ULRYCH,učitel,M,?,1,1
Luděk PĚNKAVA,Luděk,PĚNKAVA,starosta,M,M6,1,1
Ludvík TVARŮŽEK,Ludvík,TVARŮŽEK,náměstek ředitele,M,M5,1,1
Luděk KLUSÁČEK,Luděk,KLUSÁČEK,trenér,M,M5,1,1
Magda VAŠÁRYOVÁ,Magda,VAŠÁRYOVÁ,bývalá politička a herečka,F,M6,1,1
Léčba HIV,Léčba,HIV,jsou komplikovanější záležitost protože léčil,F?,?,1,1
Lídrem KDU ČSL,Lídrem,KDU ČSL,na jižní,M,?,1,1
Lídři EU,Lídři,EU,o klimatu,M,?,1,1
Lídři ODS,Lídři,ODS,lidovců a starostů nové předsedkyni,M,?,1,1
López OBRADOR,López,OBRADOR,mexický prezident,M,M6,1,1
Maatiusi MANNING,Maatiusi,MANNING,inuitský námořník,M,?,1,1
Lukáš VALEŠ,Lukáš,VALEŠ,politolog,M,M3,1,1
Lukáš DUBEC,Lukáš,DUBEC,náměstek hejtmana,M,M5,1,1
Luis MORAGO,Luis,MORAGO,ekologický aktivista,M,M5,1,1
Lukasz CHORBACZ,Lukasz,CHORBACZ,předseda polské uhelné obchodní komory,M,M6,1,1
Luke PETERS,Luke,PETERS,lovec humrů,F?,?,1,1
Lukáš AUGUSTIN,Lukáš,AUGUSTIN,redaktor,M,M1,1,1
Lukáš BARTOŇ,Lukáš,BARTOŇ,poslanec místopředseda,M,M6,1,1
Magali HUARACHIOVÁ,Magali,HUARACHIOVÁ,dobrovolnice,F,?,1,1
Magda GONZALESOVÁ,Magda,GONZALESOVÁ,ředitelka státní služby na ochranu,F,M5,1,1
Lukáš KOPEČNÝ,Lukáš,KOPEČNÝ,mluvčí,M,M1,1,1
Lukáš KOVANDA,Lukáš,KOVANDA,člen,M,M6,1,1
Lukáš HATAŠ,Lukáš,HATAŠ,místopředseda,M,M6,1,1
Lukáš HRÁBEK,Lukáš,HRÁBEK,mluvčí,M,M1,1,1
Lukáš HÁJEK,Lukáš,HÁJEK,politický analytik,M,M5,1,1
Lukáš JANOTA,Lukáš,JANOTA,autor oceněné diplomové práce,M,?,1,1
Lukáš BERNAT,Lukáš,BERNAT,mluvčí,M,M1,1,1
Lukáš BĚLOHRADSKÝ,Lukáš,BĚLOHRADSKÝ,majitel,M,M5,1,1
Mami MIZURORIOVÁ,Mami,MIZURORIOVÁ,zvláštní zmocněnkyně generálního tajemníka,F,M6,1,1
Mami MIZUTORIOVÁ,Mami,MIZUTORIOVÁ,zástupkyně,F,M5,1,1
Magdaléna CHYTRÁ,Magdaléna,CHYTRÁ,vedoucí botanická zahrada,F,M5,1,1
Magdaléna ŠULCOVÁ,Magdaléna,ŠULCOVÁ,moderátorka,F,M1,1,1
Mahadou MBODJI,Mahadou,MBODJI,předseda,M,M6,1,1
Maira KELLERSOVÁ,Maira,KELLERSOVÁ,demonstrují studentka,F,?,1,1
Lucie CWIKOVÁ,Lucie,CWIKOVÁ,lékařka,F,?,1,1
Lucie DOSEDĚLOVÁ,Lucie,DOSEDĚLOVÁ,mluvčí,F,M1,1,1
Mamo GODANA,Mamo,GODANA,zástupce organizace,M,M5,1,1
Management ČEZ,Management,ČEZ,se k tomu může nějak,M,?,1,1
Manfred WEBER,Manfred,WEBER,kandidát na předsedu,M,M6,1,1
Manfred WEBER,Manfred,WEBER,lídr,M,M6,1,1
Manoj KUMAR SINGH,Manoj,KUMAR SINGH,indický ministr životního prostředí,M,M6,1,1
Manuel BARROSO,Manuel,BARROSO,předseda,M,M6,1,1
Mairi GOUGEONOVÁ,Mairi,GOUGEONOVÁ,skotská ministrině životního prostředí,F,?,1,1
Mamadou MBODJI,Mamadou,MBODJI,předseda,M,M6,1,1
Lucie SMOLKOVÁ,Lucie,SMOLKOVÁ,hnutí,F,?,1,1
Lucie SMOLKOVÁ,Lucie,SMOLKOVÁ,pořadatelka,F,?,1,1
Lucie SMOLKOVÁ,Lucie,SMOLKOVÁ,spoluorganizátorka,F,?,1,1
Lucie SMOLKOVÁ,Lucie,SMOLKOVÁ,studentka členka,F,M2,1,1
Manuel SANTOS,Manuel,SANTOS,kolumbijský prezident,M,?,1,1
Manuela SCHWESIGOVÁ,Manuela,SCHWESIGOVÁ,ministerská předsedkyně,F,?,1,1
Marc CHARDONNENS,Marc,CHARDONNENS,ředitel,M,M5,1,1
Marcel KOALAJA,Marcel,KOALAJA,poslanec a místopředseda,M,M6,1,1
Luděk KŘEPELKA,Luděk,KŘEPELKA,kombajnista,M,?,1,1
Luděk KŘEPELKA,Luděk,KŘEPELKA,řidič kombajnu,M,M2,1,1
Luděk LISTÍK,Luděk,LISTÍK,majitel studny,M,M5,1,1
Lucie VRBOVÁ,Lucie,VRBOVÁ,obyvatelka,F,M2,1,1
Lucino NEZZI,Lucino,NEZZI,brazilský farmář,M,M2,1,1
Ludovic HOCHART,Ludovic,HOCHART,zástupce policejních odborů,M,M5,1,1
Ludovic RAVANEL,Ludovic,RAVANEL,francouzský vědec,M,M3,1,1
Lucie PETŘÍČKOVÁ,Lucie,PETŘÍČKOVÁ,mluvčí,F,M1,1,1
Marco VIANELLO,Marco,VIANELLO,restaurátor,M,?,1,1
Marcel KOLAJA,Marcel,KOLAJA,zvolený místopředseda,M,?,1,1
Marcela KALUŽÍKOVÁ,Marcela,KALUŽÍKOVÁ,obec,F,?,1,1
Marcela ONDŘEJOVÁ,Marcela,ONDŘEJOVÁ,advokátka,F,?,1,1
Marian JUREČKA,Marian,JUREČKA,opoziční zastupitel,M,?,1,1
Marian JUREČKA,Marian,JUREČKA,poslanec bývalý ministr zemědělství,M,M6,1,1
Marian JUREČKA,Marian,JUREČKA,poslanec člen podvýboru pro energetiku,M,M6,1,1
Margo WOLLASTONOVÁ,Margo,WOLLASTONOVÁ,farmářka,F,M2,1,1
Marcus LUTES,Marcus,LUTES,analytik,M,M5,1,1
Marcelo PARINTINTIN,Marcelo,PARINTINTIN,zástupce místního domorodého kmene,M,M5,1,1
Marcin KOROLEC,Marcin,KOROLEC,prezident konference polský ministr životního,M,M6,1,1
Marcin PRZYDACZ,Marcin,PRZYDACZ,náměstek polského ministra zahraničních věcí,M,M5,1,1
Marcio ASTRINI,Marcio,ASTRINI,koordinátor,M,M5,1,1
Marco GIACHETTI,Marco,GIACHETTI,ředitel nadace pro stavbu zelené,M,M5,1,1
Marco LAMBERTINI,Marco,LAMBERTINI,generální ředitel,M,M5,1,1
Marco TEDESCO,Marco,TEDESCO,observatoř,M,?,1,1
Lubomír METNAR,Lubomír,METNAR,ministr obrany nestr,M,M6,1,1
Marek BOHÁČ,Marek,BOHÁČ,student,M,M2,1,1
Marek HOVORKA,Marek,HOVORKA,ředitel festivalu,M,M5,1,1
Marek JANCÁK,Marek,JANCÁK,vedoucí výroby vozů,M,M5,1,1
Marek KOUTNÝ,Marek,KOUTNÝ,ředitel,M,M5,1,1
Marek KVETAN,Marek,KVETAN,výtvarník,M,?,1,1
Marcos PASTOR,Marcos,PASTOR,technický poradce,M,M5,1,1
Marcus FONTENOT,Marcus,FONTENOT,obyvatel,M,M2,1,1
Luboš VLČEK,Luboš,VLČEK,ředitel,M,M5,1,1
Luc MÉLENCHON,Luc,MÉLENCHON,hnutí,M,?,1,1
Luc PIGUET,Luc,PIGUET,generální ředitel společnosti,M,M5,1,1
Lucie BOTOROVÁ,Lucie,BOTOROVÁ,moderátorka,F,M1,1,1
Lubomír ZEMAN,Lubomír,ZEMAN,historik památkář,M,M3,1,1
Louis FLETCHER,Louis,FLETCHER,ministr pro udržitelný rozvoj,M,M6,1,1
Louise FRESCOVÁ,Louise,FRESCOVÁ,profesorka,F,M3,1,1
Lourdes AYALOVÁ,Lourdes,AYALOVÁ,obyvatelka,F,M2,1,1
Lisa MURKOEWSKLOVÁ,Lisa,MURKOEWSKLOVÁ,republikánská senátorka,F,?,1,1
Lina BURNELIUSOVÁ,Lina,BURNELIUSOVÁ,zástupkyně,F,M5,1,1
Linda BARTOŠOVÁ,Linda,BARTOŠOVÁ,reportérka,F,M1,1,1
Linda ZEILINA,Linda,ZEILINA,ředitelka,F?,M5,1,1
Libor STRAKOŠ,Libor,STRAKOŠ,výrobní náměstek,M,?,1,1
Libor VÁVRA,Libor,VÁVRA,předseda,M,M6,1,1
Lidové REPUBLIKY,Lidové,REPUBLIKY,prohlášení,M,?,1,1
Light BENJAMIN,Light,BENJAMIN,zpěvačka,M,?,1,1
Lorenzo STEFANI,Lorenzo,STEFANI,mluvčí belgického autoklubu,M,M1,1,1
Lorna HEMPSTEADOVÁ,Lorna,HEMPSTEADOVÁ,ředitelka,F,M5,1,1
Lindley JOHNSON,Lindley,JOHNSON,výzkumník,M,M3,1,1
Lindsey GRAHAM,Lindsey,GRAHAM,republikánský předseda právního výboru,M,?,1,1
Line BAY,Line,BAY,profesor,F?,M3,1,1
Line BAYOVÁ,Line,BAYOVÁ,profesorka,F,M3,1,1
Lirsti LONKOVÁ,Lirsti,LONKOVÁ,expertka na psychologii vzdělávání,F,M5,1,1
Lisa MUMFORDOVÁ,Lisa,MUMFORDOVÁ,účastnice protestu,F,?,1,1
Marek SKALICKÝ,Marek,SKALICKÝ,člen představenstva,M,M6,1,1
Marek SLOVÁČEK,Marek,SLOVÁČEK,farmář,M,M2,1,1
Marek VÝBORNÝ,Marek,VÝBORNÝ,poslanec,M,M6,1,1
Lisa MURKOWSKIOVÁ,Lisa,MURKOWSKIOVÁ,republikánská senátorka,F,?,1,1
Liseline LAVOINEOVÁ,Liseline,LAVOINEOVÁ,majitelka restaurace,F,M5,1,1
Livia KLAUSOVÁ,Livia,KLAUSOVÁ,manželka prezidenta,F,?,1,1
Liz TRUSS,Liz,TRUSS,britská ministryně zahraničí,M,M6,1,1
Lorenz VAFFLER,Lorenz,VAFFLER,ministr vnitra,M,M6,1,1
Margrethe VESTAGEROVÁ,Margrethe,VESTAGEROVÁ,lídryně,F,M6,1,1
Maria CALISAYOVÁ,Maria,CALISAYOVÁ,dobrovolnice,F,?,1,1
Maria SASSOLI,Maria,SASSOLI,nový předseda,F?,M6,1,1
Maria SASSOLI,Maria,SASSOLI,předseda,F?,M6,1,1
Marek VÝBORNÝ,Marek,VÝBORNÝ,předseda strany,M,M6,1,1
Marek ČERMÁK,Marek,ČERMÁK,jednatel,M,M5,1,1
Marel VELEBNÝ,Marel,VELEBNÝ,divák,M,?,1,1
Marek LOULA,Marek,LOULA,vrchní ředitel,M,?,1,1
Levice NATO,Levice,NATO,považujeme za úplně přežité a,F?,?,1,1
Leonore GEWESSLER,Leonore,GEWESSLER,rakouská ministryně pro klima a,F?,M6,1,1
Leonore GEWESSLEROVÁ,Leonore,GEWESSLEROVÁ,rakouská ministryně pro klima a,F,M6,1,1
Leoš HEGER,Leoš,HEGER,místopředseda strany bývalý ministr zdravotnictví,M,M6,1,1
Leoš KUBELKA,Leoš,KUBELKA,sportovní rybář,M,?,1,1
Lesy ČR,Lesy,ČR,ale pro všechny vlastníky v,M,?,1,1
Leo LUZAR,Leo,LUZAR,člen hospodářského výboru,M,M6,1,1
Leona JINDROVÁ,Leona,JINDROVÁ,redaktorka,F,M1,1,1
Li KCHE ČCHIANG,Li,KCHE ČCHIANG,čínský premiér,M,M6,1,1
Liam GOLDING,Liam,GOLDING,obyvatelka solární vesnice,M,M2,1,1
Lesy ČR,Lesy,ČR,obchodovaly se,M,?,1,1
Lesy ČR,Lesy,ČR,vybírají těžební společnosti na kalamitní,M,?,1,1
Lesy ČR,Lesy,ČR,vydaly,M,?,1,1
Leszek WI NIEWSKI,Leszek,WI NIEWSKI,majitel rybářské firmy,M,M5,1,1
Lesů ČR,Lesů,ČR,které tak jak v té,M,?,1,1
Levent KURNAZ,Levent,KURNAZ,klimatolog,M,M3,1,1
Mariana NOVOTNÁ,Mariana,NOVOTNÁ,moderátor,F,M1,1,1
Mariana NOVOTNÁ,Mariana,NOVOTNÁ,redaktorka,F,M1,1,1
Mariana TELEKEŠOVÁ,Mariana,TELEKEŠOVÁ,organizátorka protestu,F,?,1,1
Marie FIŽOVÁ,Marie,FIŽOVÁ,kronikářka,F,?,1,1
Marie HAGAOVÁ,Marie,HAGAOVÁ,ředitelka organizace,F,M5,1,1
Marian JUREČKA,Marian,JUREČKA,poslanec člen sněmovního zemědělského výboru,M,M6,1,1
Marian JUREČKA,Marian,JUREČKA,předseda strany místopředseda sněmovního hospodářství,M,M6,1,1
Li HUEI LAN,Li,HUEI LAN,sběračka čaje,M,?,1,1
Lin SHIOU RUEI,Lin,SHIOU RUEI,vládní výzkumnice,M,M3,1,1
Marika VOLFOVÁ,Marika,VOLFOVÁ,aktivistka,F,M5,1,1
Mario DRAGHI,Mario,DRAGHI,italský premiér,M,M6,1,1
Mario DRAGHI,Mario,DRAGHI,italský premiér hostitel summitu,M,M6,1,1
Marion MECEDOVÁ,Marion,MECEDOVÁ,obyvatelka,F,M2,1,1
Marie HEŘMÁNKOVÁ,Marie,HEŘMÁNKOVÁ,mluvčí,F,M1,1,1
Marie KUBÍKOVÁ,Marie,KUBÍKOVÁ,radní pro školství,F,M6,1,1
Marie ČÁPOVÁ,Marie,ČÁPOVÁ,ředitelka,F,M5,1,1
Lenka CHALUPOVÁ,Lenka,CHALUPOVÁ,mluvčí,F,M1,1,1
Lenka FIERLOVÁ,Lenka,FIERLOVÁ,sestra oběti,F,?,1,1
Laura WALTERSOVÁ,Laura,WALTERSOVÁ,obyvatelka,F,M2,1,1
Laurent FABIUS,Laurent,FABIUS,předseda klimatické konference,M,M6,1,1
Laurent JACQUES,Laurent,JACQUES,starosta,M,M6,1,1
Laďka SKOPOVÁ,Laďka,SKOPOVÁ,divačka,F,?,1,1
Le MAIRE,Le,MAIRE,francouzský ministr financí,F?,M6,1,1
Laetitia BROCKOVÁ,Laetitia,BROCKOVÁ,komentátorka,F,M1,1,1
Mark EAKIN,Mark,EAKIN,oceánograf,M,M3,1,1
Mark PAWSEY,Mark,PAWSEY,poslanec,M,M6,1,1
Lenka KOVAČOVSKÁ,Lenka,KOVAČOVSKÁ,náměstkyně pro energetiku,F,M5,1,1
Lenka ONDRÁČKOVÁ,Lenka,ONDRÁČKOVÁ,vedoucí dílny,F,M5,1,1
Lenka WEGRZINOVÁ,Lenka,WEGRZINOVÁ,obyvatelka,F,M2,1,1
Lechaki PARSAALACHOVÁ,Lechaki,PARSAALACHOVÁ,zemědělkyně,F,M2,1,1
Leena SRIVASTVA,Leena,SRIVASTVA,klimatoložka,F?,M3,1,1
Lenka AUGUSTOVÁ,Lenka,AUGUSTOVÁ,obyvatelka,F,M2,1,1
Markéta DOBIÁŠOVÁ,Markéta,DOBIÁŠOVÁ,moderátorka,F,M1,1,1
Markéta KNOFLÍKOVÁ,Markéta,KNOFLÍKOVÁ,obyvatelka,F,M2,1,1
Markéta KOLOFÍKOVÁ,Markéta,KOLOFÍKOVÁ,obyvatelka,F,M2,1,1
Mark RUGGIERO,Mark,RUGGIERO,mluvčí parků,M,M1,1,1
Mark WRIGHT,Mark,WRIGHT,vědecký ředitel,M,M3,1,1
Mariupolu AZOS,Mariupolu,AZOS,město dál brání,M,?,1,1
Marián JUREČKA,Marián,JUREČKA,ministr zemědělství,M,M6,1,1
Mark ADAMS,Mark,ADAMS,mluvčí,M,M1,1,1
Leonard KUNTZ,Leonard,KUNTZ,opravář,M,?,1,1
Leonardo DICAPRIO,Leonardo,DICAPRIO,americký herec,M,M2,1,1
Markéta PEKAROVÁ ADAMOVÁ,Markéta,PEKAROVÁ ADAMOVÁ,místopředsedkyně strany,F,M6,1,1
Markéta PEKAROVÁ ADAMOVÁ,Markéta,PEKAROVÁ ADAMOVÁ,členka výboru pro životní prostředí,F,M6,1,1
Markéta SEIDLOVÁ,Markéta,SEIDLOVÁ,místopředsedkyně,F,M6,1,1
Markéta VAŇKOVÁ,Markéta,VAŇKOVÁ,primátorka město,F,M6,1,1
Markéta WITOSZOVÁ,Markéta,WITOSZOVÁ,analytička,F,M5,1,1
Markus SCHEUERMAIER,Markus,SCHEUERMAIER,předseda,M,M6,1,1
Martin BARRY,Martin,BARRY,architekt ředitel festivalu reSITe,M,?,1,1
Maroš PRČINA,Maroš,PRČINA,mluvčí hnutí,M,M1,1,1
Maroš ŠEFCOVIČ,Maroš,ŠEFCOVIČ,místopředseda,M,M6,1,1
Mars MISSION,Mars,MISSION,twitterový účet,M,?,1,1
Kristina DVOŘÁKOVÁ,Kristina,DVOŘÁKOVÁ,mluvčí,F,M1,1,1
Kristina VRKOČOVÁ,Kristina,VRKOČOVÁ,moderátorka,F,M1,1,1
Kristýna KOLOVRÁTKOVÁ,Kristýna,KOLOVRÁTKOVÁ,redaktorka,F,M1,1,1
Konrad SEBLON,Konrad,SEBLON,obyvatel,M,M2,1,1
Kumar SINGH,Kumar,SINGH,indický ministr životního prostředí,M,M6,1,1
Martin HANOUSEK,Martin,HANOUSEK,ekolog krajský zastupitel,M,M3,1,1
Martin HUBENÝ,Martin,HUBENÝ,hydrolog,M,M3,1,1
Martin JAHN,Martin,JAHN,člen představenstva pro oblast prodeje,M,M6,1,1
Martin CIDLINSKÝ,Martin,CIDLINSKÝ,mluvčí,M,M1,1,1
Martin GEBAUER,Martin,GEBAUER,náměstek hejtmana,M,M5,1,1
Martin HANEL,Martin,HANEL,hydrolog katedra vodního hosp,M,M3,1,1
Martin ANDER,Martin,ANDER,náměstek primátora města,M,M5,1,1
Ladislav HOLEŠ,Ladislav,HOLEŠ,odbor životního prostředí,M,?,1,1
Ladislav KOKTA,Ladislav,KOKTA,obyvatel,M,M2,1,1
Kumar ŠARMA,Kumar,ŠARMA,aktivista cestovatel,M,M5,1,1
Lada PETRÁNKOVÁ,Lada,PETRÁNKOVÁ,studentka,F,M2,1,1
Lada WAGNEROVÁ,Lada,WAGNEROVÁ,turistka rodačka ze,F,?,1,1
Ladislav AMBROZEK,Ladislav,AMBROZEK,místostarosta,M,?,1,1
Kryscina CIMANOUSKÁ,Kryscina,CIMANOUSKÁ,běloruská atletka,F,?,1,1
Kryštof EBEN,Kryštof,EBEN,vedoucí projektu,M,M5,1,1
Larry ELDER,Larry,ELDER,kandidát na guvernéra,M,M6,1,1
