name,firstname,surname,role_raw,gender,type,n_mentions,n_docs,type_final,source,gender_final
Miroslav TESAŘ,Miroslav,TESAŘ,hydrolog,M,M3,2,1,M3,rule,M
Jerry BROWN,Jerry,BROWN,kalifornský guvernér,M,?,2,2,M6,llm,M
Mnatsi MARAU,Mnatsi,MARAU,nový vyznavač veganství,M,?,2,2,M4,llm,M
Mogu UTUAQ,Mogu,UTUAQ,obyvatel obce,M,M2,2,1,M2,rule,M
Miloš URBAN,Miloš,URBAN,spisovatel,M,M5,2,1,M5,rule,M
Miloš ZEMAN,Miloš,ZEMAN,bývalý premiér,M,M6,2,2,M6,rule,M
Jim CLARK,Jim,CLARK,horozelec,M,?,2,2,M2,llm,M
Jim GREEN,Jim,GREEN,ředitel divize pro výzkum planet,M,M5,2,1,M5,rule,M
David HOLLAND,David,HOLLAND,matematik,M,M3,2,1,M3,rule,M
Der BELLEN,Der,BELLEN,rakouský prezident,M,M6,2,1,M6,rule,M
Princ CHARLES,Princ,CHARLES,nástupce britského trůnu,M,?,2,1,M6,llm,M
Philippe WAECHTER,Philippe,WAECHTER,vrchní ekonom,F?,?,2,2,M5,llm,M
Pierre CHASSERAY,Pierre,CHASSERAY,ekologický aktivista,F?,M5,2,2,M5,rule,M
Jan POHL,Jan,POHL,technik,M,M5,2,1,M5,rule,M
Jan POLÁŠEK,Jan,POLÁŠEK,mluvčí hnutí,M,M1,2,1,M1,rule,M
Eva ŠELEPOVÁ,Eva,ŠELEPOVÁ,redaktorka,F,M1,2,2,M1,rule,F
František LAUDÁT,František,LAUDÁT,předseda poslaneckého klubu,M,M6,2,2,M6,rule,M
František NĚMEC,František,NĚMEC,vedoucí rostlinné výroby,M,M5,2,1,M5,rule,M
Ondřej VESELÝ,Ondřej,VESELÝ,místopředseda poslaneckého klubu předseda zahraničního,M,M6,2,1,M6,rule,M
Petr ZAJÍC,Petr,ZAJÍC,portfolio manažer,M,?,2,1,M5,llm,M
Saar SAFRA,Saar,SAFRA,zakladatel,M,M5,2,1,M5,rule,M
Pradipta BARUAH,Pradipta,BARUAH,správce parku,F?,?,2,2,M5,llm,F
Jaroslava SMETANOVÁ,Jaroslava,SMETANOVÁ,starostka,F,M6,2,1,M6,rule,F
Jaroslaw KACZY SKI,Jaroslaw,KACZY SKI,předseda,M,M6,2,2,M6,rule,M
Miroslav TRNKA,Miroslav,TRNKA,vedoucí odd,M,M5,2,1,M5,rule,M
Jindřich MACHALA,Jindřich,MACHALA,kronikář,M,?,2,1,M1,llm,M
Jindřich ŠÍDLO,Jindřich,ŠÍDLO,hlavní analytik,M,M5,2,1,M5,rule,M
Mitch MCCONNELL,Mitch,MCCONNELL,šéf republikánské většiny v,M,M5,2,2,M5,rule,M
Mitchell PERRY,Mitchell,PERRY,místní obyvatel,M,M2,2,2,M2,rule,M
David MUHLGAY,David,MUHLGAY,ředitel odsolovacího zařízení,M,M5,2,2,M5,rule,M
David PAZ,David,PAZ,ředitel,M,M5,2,2,M5,rule,M
Jaroslav ŠIMČÍK,Jaroslav,ŠIMČÍK,otec majitele domu,M,M2,2,1,M2,rule,M
David ČERNÝ,David,ČERNÝ,výtvarník zdroj,M,?,2,1,M2,llm,M
Fabien MOREAU,Fabien,MOREAU,vinař,M,M2,2,1,M2,rule,M
Ema OSTŘÍŽKOVÁ,Ema,OSTŘÍŽKOVÁ,spoluorganizátorka akce,F,?,2,2,M5,llm,F
Emira HOLMEY,Emira,HOLMEY,novinářka,F?,M1,2,1,M1,rule,F
Radek STROUHAL,Radek,STROUHAL,člen představenstva finanční ředitel,M,M6,2,1,M6,rule,M
Radim FIALA,Radim,FIALA,předseda sněmovního hospodářského výboru,M,M6,2,2,M6,rule,M
Jan WOERNER,Jan,WOERNER,ředitel,M,M5,2,1,M5,rule,M
Podle OSN,Podle,OSN,už před válkou uprchlo do,F?,?,2,1,?,llm,F
Petr ŠLEGR,Petr,ŠLEGR,dopravní konzultant,M,?,2,1,M5,llm,M
Petra MUSILOVÁ,Petra,MUSILOVÁ,mluvčí,F,M1,2,1,M1,rule,F
Petra RAJSNEROVÁ,Petra,RAJSNEROVÁ,pracovnice,F,M3,2,2,M3,rule,F
Jan PŘÍHODA,Jan,PŘÍHODA,mluvčí,M,M1,2,1,M1,rule,M
Jan RICHTER,Jan,RICHTER,poslanec volební manažer,M,M6,2,1,M6,rule,M
Jan ŠÍMA,Jan,ŠÍMA,ředitel odboru druhové ochrany ministerstvo,M,M5,2,1,M5,rule,M
Lukáš ZÁRUBA,Lukáš,ZÁRUBA,ředitel odboru ochrany vod,M,M5,2,1,M5,rule,M
Štěpán SEDLÁČEK,Štěpán,SEDLÁČEK,redaktor,M,M1,2,1,M1,rule,M
Štěpán KYJOVSKÝ,Štěpán,KYJOVSKÝ,ředitel odboru ochrany prostředí,M,M5,2,1,M5,rule,M
Marc CHARDONNENS,Marc,CHARDONNENS,ředitel švýcarský úřad pro životní,M,M5,2,2,M5,rule,M
Oliver STEEDS,Oliver,STEEDS,výzkumný ústav,M,?,2,1,M5,llm,M
Šprinz BEZPP,Šprinz,BEZPP,starosta,M,M6,2,1,M6,rule,M
Zuzana ŠEBELÍKOVÁ,Zuzana,ŠEBELÍKOVÁ,hlavní vychovatelka,F,?,2,1,M5,llm,F
Ústavní SOUD,Ústavní,SOUD,rozhodnutí,M,?,2,1,?,llm,M
Lukáš KOVANDA,Lukáš,KOVANDA,hlavní ekonom společnosti,M,M5,2,1,M5,rule,M
Lukáš RYCHTECKÝ,Lukáš,RYCHTECKÝ,kastelán zámku,M,?,2,1,M2,llm,M
Oldřich HALUZA,Oldřich,HALUZA,redaktor,M,M1,2,1,M1,rule,M
Lukáš VLČEK,Lukáš,VLČEK,náměstek pro životní prostředí,M,M5,2,1,M5,rule,M
Alok SHARMA,Alok,SHARMA,prezident summitu,M,M6,2,2,M6,rule,M
Alena ŽÁKOVSKÁ,Alena,ŽÁKOVSKÁ,bioložka,F,M3,2,1,M3,rule,F
Alexander HUG,Alexander,HUG,zástupce ředitele mise,M,M5,2,2,M5,rule,M
Členové KDU ČSL,Členové,KDU ČSL,na sjezdu zvolí své nové,M,?,2,2,?,llm,M
Zdeněk MAHOVSKÝ,Zdeněk,MAHOVSKÝ,starosta,M,M6,2,1,M6,rule,M
Alexandra NOSKOVÁ,Alexandra,NOSKOVÁ,moderátorka,F,M1,2,1,M1,rule,F
Marc TASSÉ,Marc,TASSÉ,ředitel stálého zastoupení v,M,M5,2,2,M5,rule,M
Šéf OSN,Šéf,OSN,je ovšem i nadále velmi,M,?,2,2,?,llm,M
Lucy CHANOVÁ,Lucy,CHANOVÁ,aktivistka,F,M5,2,1,M5,rule,F
Ludmila PALÁTOVÁ,Ludmila,PALÁTOVÁ,starostka,F,M6,2,1,M6,rule,F
Ludvík DROBNÝ,Ludvík,DROBNÝ,starosta,M,M6,2,1,M6,rule,M
Elvíra HAHNOVÁ,Elvíra,HAHNOVÁ,ředitelka,F,M5,2,2,M5,rule,F
Alistair PIKE,Alistair,PIKE,archeolog,M,M3,2,2,M3,rule,M
Marc AYRAULT,Marc,AYRAULT,ministr zahraničí,M,M6,2,2,M6,rule,M
Zdeněk VACEK,Zdeněk,VACEK,designér šperků,M,?,2,1,M2,llm,M
Zdeněk VOLEJNÍK,Zdeněk,VOLEJNÍK,starosta,M,M6,2,1,M6,rule,M
Margaret WILLIAMSOVÁ,Margaret,WILLIAMSOVÁ,ředitelka arktického programu,F,M5,2,2,M5,rule,F
Maria NEIROVÁ,Maria,NEIROVÁ,ředitelka odboru veřejného zdraví,F,M5,2,2,M5,rule,F
Marian JUREČKA,Marian,JUREČKA,místopředseda hospodářského výboru,M,M6,2,1,M6,rule,M
Marcel RAYNAUD,Marcel,RAYNAUD,chovatel závodních býků,M,?,2,1,M2,llm,M
Marek BENDA,Marek,BENDA,poslanec,M,M6,2,2,M6,rule,M
Alexandra UDŽENIJA,Alexandra,UDŽENIJA,zastupitelka,F?,M6,2,2,M6,rule,F
Jan SAUDEK,Jan,SAUDEK,fotograf,M,?,2,1,M2,llm,M
Else SEEBURGEROVÁ,Else,SEEBURGEROVÁ,obyvatelka obce,F,M2,2,2,M2,rule,F
Aleš VAVŘINA,Aleš,VAVŘINA,rybníkářství,M,?,2,1,M2,llm,M
Emmanuel MACRON,Emmanuel,MACRON,prezident,M,M6,2,2,M6,rule,M
Eri HANSEN,Eri,HANSEN,šéf francouzské agentury pro biodiverzitu,M,M5,2,1,M5,rule,M
Erich PRUSEK,Erich,PRUSEK,obyvatel,M,M2,2,1,M2,rule,M
Erik TABERY,Erik,TABERY,šéfredaktor týdeníku,M,M5,2,2,M5,rule,M
Ochirtogtoh TSEDENORGIH,Ochirtogtoh,TSEDENORGIH,pastevec,M,?,2,2,M2,llm,M
Petr VOTRUBA,Petr,VOTRUBA,obyvatel,M,M2,2,2,M2,rule,M
Petr VOŘÍŠEK,Petr,VOŘÍŠEK,člen koordinačního týmu,M,M6,2,1,M6,rule,M
Eva JENÍKOVÁ,Eva,JENÍKOVÁ,krajinářský architekt,F,?,2,1,M3,llm,F
Přemysl NĚMEC,Přemysl,NĚMEC,předseda,M,M6,2,1,M6,rule,M
Přemysl RABAS,Přemysl,RABAS,ředitel,M,M5,2,2,M5,rule,M
Radek HOŘÁK,Radek,HOŘÁK,ředitel,M,M5,2,2,M5,rule,M
Donald TRUMP,Donald,TRUMP,tehdejší americký prezident,M,M6,2,2,M6,rule,M
Jan LUKAVSKÝ,Jan,LUKAVSKÝ,ekolog,M,M3,2,1,M3,rule,M
Jan PIŇOS,Jan,PIŇOS,mluvčí,M,M1,2,2,M1,rule,M
Francios ENGELBRECHT,Francios,ENGELBRECHT,klimatolog,M,M3,2,2,M3,rule,M
Rainer ROEHE,Rainer,ROEHE,genetik,M,M3,2,2,M3,rule,M
Rajendra PACHAURI,Rajendra,PACHAURI,předseda klimatického panelu,F?,M6,2,1,M6,rule,F
Olga ŠKOPKOVÁ,Olga,ŠKOPKOVÁ,alergoložka,F,?,2,1,M3,llm,F
Oliver JAHN,Oliver,JAHN,redaktor citace,M,M1,2,2,M1,rule,M
Rex TILLERSON,Rex,TILLERSON,ředitel firmy,M,M5,2,2,M5,rule,M
Ricardo JANA,Ricardo,JANA,glaciolog,M,M3,2,2,M3,rule,M
Richard BRABEC,Richard,BRABEC,ministr životního prostředí vicepremiér,M,M6,2,2,M6,rule,M
Jaroslav BEDNAŘÍK,Jaroslav,BEDNAŘÍK,předseda,M,M6,2,1,M6,rule,M
Jan ŠVEJNAR,Jan,ŠVEJNAR,ředitel centra,M,M5,2,1,M5,rule,M
Jan KŘÍŽ,Jan,KŘÍŽ,náměstek ministra pro životní prostředí,M,M5,2,1,M5,rule,M
Donald TUSK,Donald,TUSK,končící předseda,M,?,2,1,M6,llm,M
Doreen WERNEROVÁ,Doreen,WERNEROVÁ,bioložka,F,M3,2,2,M3,rule,F
Jan SVOBODA,Jan,SVOBODA,lesník,M,M5,2,1,M5,rule,M
Dušan VRBECKÝ,Dušan,VRBECKÝ,redaktor,M,M1,2,1,M1,rule,M
Dušan VÁPENÍK,Dušan,VÁPENÍK,vedoucí kolejové výroby,M,M5,2,2,M5,rule,M
Radoslav NĚMEC,Radoslav,NĚMEC,botanik,M,M3,2,1,M3,rule,M
Radovan KVAPIL,Radovan,KVAPIL,stavbyvedoucí,M,?,2,1,M2,llm,M
Radovan SRBA,Radovan,SRBA,obchodní ředitel,M,M5,2,1,M5,rule,M
Rae HAVREYOVÁ,Rae,HAVREYOVÁ,provozovatelka záchranné stanice,F,M5,2,1,M5,rule,F
Jan VOPRAVIL,Jan,VOPRAVIL,půdoznalec,M,?,2,1,M3,llm,M
Jan WIESNER,Jan,WIESNER,prezident,M,M6,2,2,M6,rule,M
Radek ORT,Radek,ORT,provozní,M,?,2,1,M2,llm,M
Jan SOUKUP,Jan,SOUKUP,obchodník,M,?,2,1,M2,llm,M
Jan SVEJKOVSKÝ,Jan,SVEJKOVSKÝ,mluvčí,M,M1,2,1,M1,rule,M
Raylene BROWNOVÁ,Raylene,BROWNOVÁ,kuchařka,F,?,2,1,M2,llm,F
Edward KING,Edward,KING,geofyzik,M,?,2,1,M3,llm,M
Ejtan SAT,Ejtan,SAT,obyvatel kibucu,M,M2,2,1,M2,rule,M
Elias BARTICEVIC,Elias,BARTICEVIC,vedoucí základny,M,M5,2,2,M5,rule,M
Jan SÁGL,Jan,SÁGL,místopředseda představenstva,M,M6,2,1,M6,rule,M
Jan TOMALSKÝ,Jan,TOMALSKÝ,starosta,M,M6,2,1,M6,rule,M
Odsuren BUUVEIBAATAR,Odsuren,BUUVEIBAATAR,nezisková organizace,M,?,2,1,M5,llm,M
Olaf SCHOLZ,Olaf,SCHOLZ,kancléřský kandidát,M,?,2,1,M6,llm,M
Jan ZAHRADNÍK,Jan,ZAHRADNÍK,poslanec expert strany na životní,M,M6,2,2,M6,rule,M
Jan ZÁVĚŠICKÝ,Jan,ZÁVĚŠICKÝ,jednatel,M,M5,2,2,M5,rule,M
Jan SMUTEK,Jan,SMUTEK,specialista realizace experimentů,M,M5,2,2,M5,rule,M
Michal ORAVEC,Michal,ORAVEC,vědecký pracovník,M,M3,2,2,M3,rule,M
Terry HUGHES,Terry,HUGHES,ředitel,M,M5,2,1,M5,rule,M
Thon THAMRONGNAWASAWAT,Thon,THAMRONGNAWASAWAT,mořský biolog,M,M3,2,2,M3,rule,M
Světlana ŠVARCOVÁ,Světlana,ŠVARCOVÁ,starostka,F,M6,2,1,M6,rule,F
Sáričková BENEŠOVÁ,Sáričková,BENEŠOVÁ,mluvčí,F,M1,2,2,M1,rule,F
John MCCAIN,John,MCCAIN,republikánský senátor,M,M6,2,2,M6,rule,M
Claudio CASTRO,Claudio,CASTRO,guvernér státu,M,M6,2,2,M6,rule,M
Claure NULLISOVÁ,Claure,NULLISOVÁ,mluvčí,F,M1,2,2,M1,rule,F
Clay BOUDREAUX,Clay,BOUDREAUX,obyvatel státu,M,M2,2,1,M2,rule,M
Tania CASALOVÁ,Tania,CASALOVÁ,koordinátorka vědeckých programů,F,M5,2,1,M5,rule,F
Tanya TRUJILLOVÁ,Tanya,TRUJILLOVÁ,náměstkyně ředitele pro vodohospodářství,F,M5,2,2,M5,rule,F
Jim GREEN,Jim,GREEN,ředitel planetárního výzkumu,M,M5,2,1,M5,rule,M
Jolka KRÁSNÁ,Jolka,KRÁSNÁ,moderátorka,F,M1,2,2,M1,rule,F
Michal ANDELEK,Michal,ANDELEK,projektový manažer,M,M5,2,2,M5,rule,M
Tereza PROKOPOVÁ,Tereza,PROKOPOVÁ,parazitoložka,F,?,2,1,M3,llm,F
Tomalský BEZPP,Tomalský,BEZPP,starosta,M,M6,2,1,M6,rule,M
Tomio OKAMURA,Tomio,OKAMURA,místopředseda,M,M6,2,2,M6,rule,M
Chuck SCHUMER,Chuck,SCHUMER,demokratický senátor,M,M6,2,2,M6,rule,M
Claudia FUSANI,Claudia,FUSANI,novinářka,F?,M1,2,1,M1,rule,F
Christina KOCHOVÁ,Christina,KOCHOVÁ,americká astronautka,F,?,2,2,M2,llm,F
Michal JARRAUD,Michal,JARRAUD,generální tajemník,M,M6,2,2,M6,rule,M
Claudia KEMFERTOVÁ,Claudia,KEMFERTOVÁ,ekonomka,F,M5,2,1,M5,rule,F
Josef LÉTAL,Josef,LÉTAL,obec,M,?,2,1,M6,llm,M
Tayyip ERDOGAN,Tayyip,ERDOGAN,turecký prezident,M,M6,2,2,M6,rule,M
Joachim SCHNELLNHUBER,Joachim,SCHNELLNHUBER,klimatolog,M,M3,2,1,M3,rule,M
Tamsin WALKEROVÁ,Tamsin,WALKEROVÁ,matka mladého aktivisty,F,M2,2,2,M2,rule,F
Michal VAŇÁČ,Michal,VAŇÁČ,tiskový mluvčí,M,M1,2,1,M1,rule,M
Michal ŠČASNÝ,Michal,ŠČASNÝ,ekonom,M,M5,2,1,M5,rule,M
Michal ŽÁK,Michal,ŽÁK,redaktor,M,M1,2,1,M1,rule,M
Michel BARNIER,Michel,BARNIER,vyjednavač,M,?,2,2,M6,llm,M
Mike PENCE,Mike,PENCE,americký viceprezident,F?,M6,2,2,M6,rule,M
Mike POMPEO,Mike,POMPEO,americký ministr zahraničních věcí,F?,M6,2,2,M6,rule,M
Johannes BREIVIK,Johannes,BREIVIK,člen polární expedice,M,M6,2,1,M6,rule,M
John ENTSMINGER,John,ENTSMINGER,generální manažer vodohospodářského úřadu,M,M5,2,2,M5,rule,M
Joe BIDEN,Joe,BIDEN,kandidát demokratů na amerického prezidenta,F?,M6,2,1,M6,rule,M
Michal NOVÁK,Michal,NOVÁK,majitel,M,M5,2,2,M5,rule,M
Joe BIDEN,Joe,BIDEN,zvolený americký prezident,F?,?,2,2,M6,llm,M
Joe BIDEN,Joe,BIDEN,zvolený prezident,F?,?,2,2,M6,llm,M
Daniel KAISER,Daniel,KAISER,ředitel školy,M,M5,2,1,M5,rule,M
Milan CAIS,Milan,CAIS,výtvarník a hudebník,M,?,2,1,M2,llm,M
Joe WILLIAMS,Joe,WILLIAMS,průvodce brightonské akvárium,F?,M5,2,1,M5,rule,M
Joel HARPER,Joel,HARPER,odborník na ledovce,M,M3,2,1,M3,rule,M
Josef HLAVINKA,Josef,HLAVINKA,předseda představenstva,M,M6,2,2,M6,rule,M
Michaela BABIŠOVÁ,Michaela,BABIŠOVÁ,účastnice stávky,F,M2,2,2,M2,rule,F
Michaela MLÝNKOVÁ,Michaela,MLÝNKOVÁ,učitelka,F,M2,2,1,M2,rule,F
Clint EASTWOOD,Clint,EASTWOOD,herec,M,M2,2,2,M2,rule,M
Clive PALMER,Clive,PALMER,stavitel,F?,?,2,1,M5,llm,F
Colin DONIHUE,Colin,DONIHUE,vedoucí výzkumu,M,M5,2,1,M5,rule,M
Joe BIDEN,Joe,BIDEN,tehdejší viceprezident,F?,M6,2,1,M6,rule,M
Christopher KOJM,Christopher,KOJM,předseda,M,M6,2,2,M6,rule,M
Tim LANG,Tim,LANG,spoluautor studie,M,?,2,2,M3,llm,M
Greta THURNBERGOVÁ,Greta,THURNBERGOVÁ,aktivistka,F,M5,2,1,M5,rule,F
Jan HAMÁČEK,Jan,HAMÁČEK,vicepremiér ministr vnitra předseda strany,M,M6,2,2,M6,rule,M
Jan HELEŠIC,Jan,HELEŠIC,vedoucí polesí,M,M5,2,1,M5,rule,M
Pam GARTONOVÁ,Pam,GARTONOVÁ,obyvatelka solární vesnice,F,M2,2,1,M2,rule,F
Pan WANG,Pan,WANG,obyvatel vesnice,M,M2,2,1,M2,rule,M
Grigorij MESEŽNIKOV,Grigorij,MESEŽNIKOV,prezident,M,M6,2,1,M6,rule,M
Gunnar VAGSTEDT,Gunnar,VAGSTEDT,manažer pro vývoj hybridních vozů,M,M5,2,2,M5,rule,M
Guy STEAR,Guy,STEAR,analytik,M,M5,2,2,M5,rule,M
Guy VERHOFSTADT,Guy,VERHOFSTADT,europoslanec a bývalý belgický premiér,M,M6,2,2,M6,rule,M
Josef MLEJNEK,Josef,MLEJNEK,politolog,M,M3,2,1,M3,rule,M
Patrik EICHLER,Patrik,EICHLER,komentátor,M,M1,2,1,M1,rule,M
Paul THOMAS,Paul,THOMAS,ředitel,M,M5,2,1,M5,rule,M
Josef SOTONA,Josef,SOTONA,zemědělec,M,M2,2,1,M2,rule,M
Tomáš NEČAS,Tomáš,NEČAS,kurátor kolekce meruněk,M,M5,2,1,M5,rule,M
Tomáš PFEILEF,Tomáš,PFEILEF,portfolio manažer,M,?,2,1,M5,llm,M
Tomáš PROUZA,Tomáš,PROUZA,státní tajemník pro evropské záležitosti,M,M6,2,1,M6,rule,M
Chris COCKEL,Chris,COCKEL,manažel sběru semen,M,?,2,1,M5,llm,M
Tomáš CZERNIN,Tomáš,CZERNIN,místopředseda strany,M,M6,2,1,M6,rule,M
Tomáš CZERNIN,Tomáš,CZERNIN,nově zvolený,M,?,2,1,M6,llm,M
Josef PÁTEK,Josef,PÁTEK,starosta,M,M6,2,1,M6,rule,M
Josef SEJÁK,Josef,SEJÁK,enviromentální ekonom člen,M,?,2,1,M3,llm,M
Tomáš FOLDYNA,Tomáš,FOLDYNA,vedoucí prodejny,M,M5,2,1,M5,rule,M
Petr FIALA,Petr,FIALA,premiér,M,M6,2,2,M6,rule,M
Josef PATZAK,Josef,PATZAK,jednatel,M,M5,2,1,M5,rule,M
Josef PROCHÁZKA,Josef,PROCHÁZKA,podnikatel zemědělský hospodář,M,?,2,1,M5,llm,M
Tom BALDEWEJ,Tom,BALDEWEJ,zákazník,M,M2,2,2,M2,rule,M
Michael TAUSZ,Michael,TAUSZ,člen výzkumu ekosystému lesů z,M,M6,2,1,M6,rule,M
Michael TJERNSTROM,Michael,TJERNSTROM,meteorolog,M,M3,2,1,M3,rule,M
Michal DOŠEK,Michal,DOŠEK,oddělení výzkumu a vývoje,M,?,2,1,?,llm,M
Michal HAŠEK,Michal,HAŠEK,tehdejší poslanec,M,M6,2,1,M6,rule,M
Michal JAKOUBEK,Michal,JAKOUBEK,pěstitel,M,?,2,1,M2,llm,M
Michaela SCH NOVÁ,Michaela,SCH NOVÁ,turistka,F,M2,2,1,M2,rule,F
Joquín ROA,Joquín,ROA,paraguayský ministr pro národní bezpečnost,M,?,2,2,M6,llm,M
Jorga HRUŠKOVÁ,Jorga,HRUŠKOVÁ,redaktorka,F,M1,2,2,M1,rule,F
Jan FREIDIINGER,Jan,FREIDIINGER,aktivista na bagru,M,M5,2,1,M5,rule,M
Michael KARISCH,Michael,KARISCH,turista z,M,M2,2,2,M2,rule,M
Michael NEČAS,Michael,NEČAS,statik,M,?,2,2,M3,llm,M
Michael PROVENCHER,Michael,PROVENCHER,evakuovaný z,M,?,2,1,M2,llm,M
Tim SMIT,Tim,SMIT,zakladatel projektu,M,M5,2,2,M5,rule,M
Ting JIN CHUA,Ting,JIN CHUA,pastýřka,M,?,2,2,M2,llm,M
Todd DAWSON,Todd,DAWSON,biolog z univerzity v,M,M3,2,2,M3,rule,M
Christ DAVIS,Christ,DAVIS,ředitel,M,M5,2,2,M5,rule,M
Christian BURGER,Christian,BURGER,odborník na energetiku,M,M3,2,1,M3,rule,M
Christian KERN,Christian,KERN,rakouský kancléř,M,M6,2,2,M6,rule,M
Jan DOLEŽAL,Jan,DOLEŽAL,meteorolog,M,M3,2,1,M3,rule,M
Jan FARSKÝ,Jan,FARSKÝ,poslanec,M,M6,2,1,M6,rule,M
Jan FOUSEK,Jan,FOUSEK,obchodní ředitel,M,M5,2,1,M5,rule,M
Jose HIDALDO,Jose,HIDALDO,ochránce přírody,F?,?,2,1,M5,llm,F
Jiří MÍKA,Jiří,MÍKA,organizátor petice,M,?,2,1,M5,llm,M
Dany KOLSKÝ,Dany,KOLSKÝ,kavárník a obchodník s kávou,M,?,2,2,M2,llm,M
Dariusz NOWAK,Dariusz,NOWAK,mluvčí krakovské radnice,M,M1,2,2,M1,rule,M
Dashpurev TSERENDELEG,Dashpurev,TSERENDELEG,šéf národního parku,M,M5,2,2,M5,rule,M
Jiří HROMADA,Jiří,HROMADA,aktivista za práva gayů,M,M5,2,2,M5,rule,M
Milan POLEDNÍK,Milan,POLEDNÍK,demograf,M,?,2,1,M3,llm,M
Daniel PROKOP,Daniel,PROKOP,sociolog analytik agentura,M,M3,2,1,M3,rule,M
Serkan COSKUN,Serkan,COSKUN,rybář,M,M2,2,2,M2,rule,M
Shane FITZSIMMONS,Shane,FITZSIMMONS,zástupce hasičů,F?,M5,2,2,M5,rule,F
Shawn FARRY,Shawn,FARRY,vědec stanice,M,M3,2,1,M3,rule,M
Sigmar GABRIEL,Sigmar,GABRIEL,ministr zahraničí,M,M6,2,2,M6,rule,M
Stanislav POLČÁK,Stanislav,POLČÁK,místopředseda hnutí europoslanec,M,M6,2,1,M6,rule,M
Dave ZANIVONI,Dave,ZANIVONI,kapitán hasičské jednotky v okrese,F?,?,2,2,M5,llm,F
Daniela PÍSAŘOVICOVÁ,Daniela,PÍSAŘOVICOVÁ,moderátorka nesrozumitelné,F,M1,2,1,M1,rule,F
David GROS,David,GROS,vedoucí,M,M5,2,1,M5,rule,M
David HACKENBERG,David,HACKENBERG,místopředseda včelařského výboru v,M,M6,2,1,M6,rule,M
David HACKENBERG,David,HACKENBERG,včelař místopředseda včelař,M,?,2,1,M2,llm,M
David HARKIN,David,HARKIN,expert na klimatickou změnu,M,M5,2,1,M5,rule,M
Daniel PAWLAS,Daniel,PAWLAS,poslanec,M,M6,2,1,M6,rule,M
Ctirad WEISSMANN,Ctirad,WEISSMANN,vedoucí,M,M5,2,1,M5,rule,M
Daisy JEFFREYOVÁ,Daisy,JEFFREYOVÁ,demonstrantka,F,M2,2,2,M2,rule,F
Dale MCLEAN,Dale,MCLEAN,hasič,F?,M2,2,2,M2,rule,F
Milan CHOVANEC,Milan,CHOVANEC,ministr vnitra,M,M6,2,2,M6,rule,M
Simon LEWIS,Simon,LEWIS,výzkumník univerzita v,M,M3,2,1,M3,rule,M
Jim SKEA,Jim,SKEA,místopředseda,M,M6,2,2,M6,rule,M
Jimmy CARTER,Jimmy,CARTER,americký prezident v letech,M,M6,2,1,M6,rule,M
Frank BAINIMARAMA,Frank,BAINIMARAMA,premiér,M,M6,2,2,M6,rule,M
David KLIMEŠ,David,KLIMEŠ,analytik,M,M5,2,1,M5,rule,M
Saskia ESKENOVÁ,Saskia,ESKENOVÁ,předsedkyně strany,F,M6,2,1,M6,rule,F
Satya NADELLA,Satya,NADELLA,výkonný ředitel,F?,M5,2,1,M5,rule,F
Saša ŠTŘELCOVÁ,Saša,ŠTŘELCOVÁ,iniciativa,F,?,2,1,M5,llm,F
David BRINARD,David,BRINARD,starosta,M,M6,2,2,M6,rule,M
David CLARK,David,CLARK,zakladatel,M,M5,2,2,M5,rule,M
Petr MARADA,Petr,MARADA,vinař,M,M2,2,1,M2,rule,M
Patricia ESPINOSA,Patricia,ESPINOSA,výkonná tajemnice,F?,M6,2,2,M6,rule,F
Dana VÉBROVÁ,Dana,VÉBROVÁ,lesnice,F,M5,2,1,M5,rule,F
Patrick MALONEY,Patrick,MALONEY,demokratický kongresman rodinný přítel,M,?,2,2,M6,llm,M
Ferdinand DUDENH FFER,Ferdinand,DUDENH FFER,automobilový expert,M,?,2,2,M5,llm,M
Petr OLYŠAR,Petr,OLYŠAR,ředitel,M,M5,2,2,M5,rule,M
Petr PAŘIL,Petr,PAŘIL,vedoucí projektu,M,M5,2,1,M5,rule,M
František SVOBODA,František,SVOBODA,ředitel,M,M5,2,1,M5,rule,M
Franziska WESSELOVÁ,Franziska,WESSELOVÁ,organizátorka protestů,F,?,2,1,M5,llm,F
Fred SPOOR,Fred,SPOOR,paleontolog,M,?,2,2,M3,llm,M
Paolo GENTILONI,Paolo,GENTILONI,italský premiér,M,M6,2,2,M6,rule,M
Pascal PERRINEAU,Pascal,PERRINEAU,politolog,M,M3,2,2,M3,rule,M
Daniela MONTALTOVÁ,Daniela,MONTALTOVÁ,ekoložka,F,M3,2,2,M3,rule,F
Dan ŤOK,Dan,ŤOK,ministr dopravy nestr,M,M6,2,2,M6,rule,M
Dana BALCAROVÁ,Dana,BALCAROVÁ,předsedkyně sněmovního výboru pro životní,F,M6,2,2,M6,rule,F
Patrick MALONEY,Patrick,MALONEY,demokratický kongresman přítel,M,?,2,2,M6,llm,M
Frida BENGTSSONOVÁ,Frida,BENGTSSONOVÁ,aktivistka,F,M5,2,2,M5,rule,F
Fuat CANBOLAT,Fuat,CANBOLAT,vedoucí projektu na ochranu karet,M,M5,2,1,M5,rule,M
Gaelle DAHERON,Gaelle,DAHERON,vinařství,F?,?,2,2,M5,llm,F
Galerie PLATO,Galerie,PLATO,osidluje nové prostory postupně,F?,?,2,2,?,llm,F
