article_id,year,firstname,surname,name,role_raw,gender,type
2012E082T085,2012,Jan,HREŇO,Jan HREŇO,moderátor,M,M1
2012E082T085,2012,Jan,ČERNÝ,Jan ČERNÝ,redaktor,M,M1
2012E082T085,2012,Luděk,LISTÍK,Luděk LISTÍK,majitel studny,M,M5
2012E082T085,2012,Jan,ČERNÝ,Jan ČERNÝ,redaktor,M,M1
2012E082T085,2012,Leona,JINDROVÁ,Leona JINDROVÁ,redaktorka,F,M1
2012E082T085,2012,Jan,ČERNÝ,Jan ČERNÝ,redaktor,M,M1
2012E082T085,2012,Petr,ČÍŽEK,Petr ČÍŽEK,hydrolog,M,M3
2012E082T085,2012,Jan,ČERNÝ,Jan ČERNÝ,redaktor,M,M1
2012E082T085,2012,Žaneta,HUDOKOVÁ,Žaneta HUDOKOVÁ,obyvatelka,F,M2
2012E082T085,2012,Jan,ČERNÝ,Jan ČERNÝ,redaktor,M,M1
2012E082T085,2012,Jan,ČERNÝ,Jan ČERNÝ,redaktor,M,M1
2012E082T085,2012,Jan,HREŇO,Jan HREŇO,moderátor,M,M1
2012E082T085,2012,Pavel,PUNČOCHÁŘ,Pavel PUNČOCHÁŘ,vrchní ředitel sekce vodního hospodářství,M,?
2012E082T085,2012,Jan,HREŇO,Jan HREŇO,moderátor,M,M1
2012E082T085,2012,Pavel,PUNČOCHÁŘ,Pavel PUNČOCHÁŘ,vrchní ředitel sekce vodního hospodářství,M,?
2012E082T085,2012,Jan,HREŇO,Jan HREŇO,moderátor,M,M1
2012E082T085,2012,Pavel,PUNČOCHÁŘ,Pavel PUNČOCHÁŘ,vrchní ředitel sekce vodního hospodářství,M,?
2012E082T085,2012,Jan,HREŇO,Jan HREŇO,moderátor,M,M1
2012E082T085,2012,Pavel,PUNČOCHÁŘ,Pavel PUNČOCHÁŘ,vrchní ředitel sekce vodního hospodářství,M,?
2012E082T085,2012,Jan,HREŇO,Jan HREŇO,moderátor,M,M1
